y,Date,Close
2016,12/30/2016,28.26
2016,12/29/2016,28.280001
2016,12/28/2016,28.209999
2016,12/27/2016,29.059999
2016,12/23/2016,29.030001
2016,12/22/2016,29
2016,12/21/2016,29.049999
2016,12/20/2016,29.07
2016,12/19/2016,29.02
2016,12/16/2016,28.969999
2016,12/15/2016,28.98
2016,12/14/2016,28.959999
2016,12/13/2016,29.209999
2016,12/12/2016,29.07
2016,12/9/2016,29.120001
2016,12/8/2016,29.1
2016,12/7/2016,29.08
2016,12/6/2016,28.82
2016,12/5/2016,28.75
2016,12/2/2016,28.629999
2016,12/1/2016,28.59
2016,11/30/2016,28.68
2016,11/29/2016,28.74
2016,11/28/2016,28.690001
2016,11/25/2016,28.73
2016,11/23/2016,28.68
2016,11/22/2016,28.709999
2016,11/21/2016,28.639999
2016,11/18/2016,28.52
2016,11/17/2016,28.610001
2016,11/16/2016,28.559999
2016,11/15/2016,28.610001
2016,11/14/2016,28.48
2016,11/11/2016,28.540001
2016,11/10/2016,28.620001
2016,11/9/2016,28.690001
2016,11/8/2016,28.66
2016,11/7/2016,28.629999
2016,11/4/2016,28.35
2016,11/3/2016,28.379999
2016,11/2/2016,28.43
2016,11/1/2016,28.549999
2016,10/31/2016,28.639999
2016,10/28/2016,28.629999
2016,10/27/2016,28.65
2016,10/26/2016,28.74
2016,10/25/2016,28.82
2016,10/24/2016,28.879999
2016,10/21/2016,28.84
2016,10/20/2016,28.85
2016,10/19/2016,28.860001
2016,10/18/2016,28.809999
2016,10/17/2016,28.66
2016,10/14/2016,28.68
2016,10/13/2016,28.700001
2016,10/12/2016,28.74
2016,10/11/2016,28.74
2016,10/10/2016,28.959999
2016,10/7/2016,28.91
2016,10/6/2016,28.98
2016,10/5/2016,29.02
2016,10/4/2016,28.969999
2016,10/3/2016,29.059999
2016,9/30/2016,29.09
2016,9/29/2016,29.01
2016,9/28/2016,29.17
2016,9/27/2016,29.07
2016,9/26/2016,28.959999
2016,9/23/2016,29.09
2016,9/22/2016,29.190001
2016,9/21/2016,29.02
2016,9/20/2016,28.780001
2016,9/19/2016,28.74
2016,9/16/2016,28.690001
2016,9/15/2016,28.790001
2016,9/14/2016,28.629999
2016,9/13/2016,28.629999
2016,9/12/2016,28.940001
2016,9/9/2016,28.780001
2016,9/8/2016,29.219999
2016,9/7/2016,29.299999
2016,9/6/2016,29.27
2016,9/2/2016,29.120001
2016,9/1/2016,29.02
2016,8/31/2016,28.99
2016,8/30/2016,29.030001
2016,8/29/2016,29.07
2016,8/26/2016,28.959999
2016,8/25/2016,29.040001
2016,8/24/2016,29.07
2016,8/23/2016,29.16
2016,8/22/2016,29.110001
2016,8/19/2016,29.09
2016,8/18/2016,29.18
2016,8/17/2016,29.09
2016,8/16/2016,29.07
2016,8/15/2016,29.15
2016,8/12/2016,29.1
2016,8/11/2016,29.09
2016,8/10/2016,29.030001
2016,8/9/2016,29.02
2016,8/8/2016,28.93
2016,8/5/2016,28.92
2016,8/4/2016,28.809999
2016,8/3/2016,28.74
2016,8/2/2016,28.73
2016,8/1/2016,28.860001
2016,7/29/2016,28.92
2016,7/28/2016,28.82
2016,7/27/2016,28.799999
