Date,Close,y,m
12/30/2016,32.91,2016,12
12/29/2016,32.959999,2016,12
12/28/2016,32.880001,2016,12
12/27/2016,33.700001,2016,12
12/23/2016,33.650002,2016,12
12/22/2016,33.599998,2016,12
12/21/2016,33.68,2016,12
12/20/2016,33.75,2016,12
12/19/2016,33.650002,2016,12
12/16/2016,33.610001,2016,12
12/15/2016,33.639999,2016,12
12/14/2016,33.580002,2016,12
12/13/2016,33.959999,2016,12
12/12/2016,33.740002,2016,12
12/9/2016,33.830002,2016,12
12/8/2016,33.73,2016,12
12/7/2016,33.650002,2016,12
12/6/2016,33.240002,2016,12
12/5/2016,33.099998,2016,12
12/2/2016,32.889999,2016,12
12/1/2016,32.860001,2016,12
11/30/2016,32.970001,2016,11
11/29/2016,33.02,2016,11
11/28/2016,32.970001,2016,11
11/25/2016,33.07,2016,11
11/23/2016,32.98,2016,11
11/22/2016,33,2016,11
11/21/2016,32.889999,2016,11
11/18/2016,32.669998,2016,11
11/17/2016,32.790001,2016,11
11/16/2016,32.669998,2016,11
11/15/2016,32.759998,2016,11
11/14/2016,32.560001,2016,11
11/11/2016,32.599998,2016,11
11/10/2016,32.720001,2016,11
11/9/2016,32.77,2016,11
11/8/2016,32.580002,2016,11
11/7/2016,32.490002,2016,11
11/4/2016,31.959999,2016,11
11/3/2016,32.040001,2016,11
11/2/2016,32.130001,2016,11
11/1/2016,32.360001,2016,11
10/31/2016,32.52,2016,10
10/28/2016,32.509998,2016,10
10/27/2016,32.549999,2016,10
10/26/2016,32.669998,2016,10
10/25/2016,32.77,2016,10
10/24/2016,32.869999,2016,10
10/21/2016,32.779999,2016,10
10/20/2016,32.810001,2016,10
10/19/2016,32.84,2016,10
10/18/2016,32.75,2016,10
10/17/2016,32.5,2016,10
10/14/2016,32.560001,2016,10
10/13/2016,32.560001,2016,10
10/12/2016,32.66,2016,10
10/11/2016,32.650002,2016,10
10/10/2016,33.07,2016,10
10/7/2016,32.93,2016,10
10/6/2016,33.060001,2016,10
10/5/2016,33.110001,2016,10
10/4/2016,32.990002,2016,10
10/3/2016,33.110001,2016,10
9/30/2016,33.150002,2016,9
9/29/2016,32.98,2016,9
9/28/2016,33.27,2016,9
9/27/2016,33.07,2016,9
9/26/2016,32.900002,2016,9
9/23/2016,33.16,2016,9
9/22/2016,33.349998,2016,9
